proj_id,regis_id,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,Firm Name,permit_us_investment,AIMC Category,type,last_upd_date,asset_lv3_name,asset_lv3_code,asset_lv2_name,asset_lv2_code,asset_lv1_name,asset_lv1_code,status
M0033_2540,-,วรรณเฟล็กซิบิลิตี้,ONE Flexible,ONE-FLEX,EX,C0000000569,One Asset Management Ltd,-,Aggressive Allocation,Other,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
M0017_2535,005_2535,กองทุนเปิดเอกทวีคูณ,ONE Multiple Growth,ONE-G,RG,C0000000569,One Asset Management Ltd,Y,Equity Large Cap,Other,2018-12-17T05:05:56,Equity Large Cap,EQLARGE,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0740_2557,MF0745_2557,กองทุนเปิด วรรณ โกลบอล อิควิตี้ ฟันด์,ONE Global Equity,ONE-GLOBALEQ,RG,C0000000569,One Asset Management Ltd,Y,Global Equity,Other,2018-12-17T05:05:56,Global Equity,EQGL,ตลาดโลก,EQGL,ตลาดโลก,EQGL,avaliable
M0076_2560,MF0107_2560,กองทุนเปิด วรรณ เกรทเตอร์ ยูเอส,One Greater US Fund,ONE-GUS,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0076_2559,MF0115_2559,กองทุนเปิด วรรณ โฮสพีทอล,ONE Hospital,ONE-HOSPITAL,RG,C0000000569,One Asset Management Ltd,Y,Aggressive Allocation,Other,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
M0601_2556,MF0528_2556,กองทุนเปิด วรรณ ไฮเปอร์ ไฟแนนเชียล อินสตรูเมนท์ ฟันด์ ห้ามขายผู้ลงทุนรายย่อย,ONE Hyper Financial Instruments,ONE-HYPER,RG,C0000000569,One Asset Management Ltd,Y,Short Term General Bond,Other,2018-12-17T05:05:56,Short Term General Bond,FIXGEN,พันธบัตรไทย,BONDTH,พันธบัตร,BOND-TH,avaliable
M0561_2558,MF0583_2558,กองทุนเปิด วรรณ นิปปอน ฟันด์,ONE Nippon,ONE-NIPPON,RG,C0000000569,One Asset Management Ltd,Y,Japan Equity,Other,2018-12-17T05:05:56,Japan Equity,EQJP,ตราสารทุนญี่ปุ่น,EQJP,ตลาดพัฒนาแล้ว,EQDEL,avaliable
M0436_2558,MF0381_2558,กองทุนเปิด วรรณ นอร์ทเอเชีย 10 ฟันด์,One North Asia 10,ONE-NORTH10,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0016_2560,MF0076_2560,กองทุนเปิด วรรณ พาวเวอร์ เอ็นเนอร์จี,One Power Energy,ONE-POWER,RG,C0000000569,One Asset Management Ltd,Y,Aggressive Allocation,Other,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
M0372_2556,MF0401_2556,กองทุนเปิด วรรณ อินคัม พรีเมียร์ ฟันด์,ONE Income Premier,ONE-PREMIER,RG,C0000000569,One Asset Management Ltd,Y,Aggressive Allocation,Other,2018-12-17T05:05:56,Aggressive Allocation,,,,,,unavailable
M0610_2552,561_2552,กองทุนเปิด วรรณ พร็อพเพอร์ตี้ พลัส ฟันด์,ONE Property Plus,ONE-PROP,RG,C0000000569,One Asset Management Ltd,Y,Fund of Property Fund - Thai,Other,2018-12-17T05:05:56,Fund of Property Fund - Thai,PRFOPTH,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,avaliable
M0518_2559,MF0507_2559,กองทุนเปิด วรรณ กองทุนคุณธรรม (ชะรีอะห์) หุ้นระยะยาว,One Shariah Long Term Equity,ONE-SHARIAHLTF,RG,C0000000569,One Asset Management Ltd,Y,Equity General,LTF,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
